IND_DESC,LOCAL_TIV,LOCAL_CURRENCY,REPORTDATE,PROJ_NAME,PROJECT_TYPE,PJ_SIC_NAM,SICPRODUCT,OWNER_NAME,P_STATUS_D,P_SIC_DESC,PLANT_NAME,P_ULT_NAME,PLANT_ADDR,PLANT_CITY,PLANT_ST,PL_ST_NAME,PL_COUNTRY,PLANT_ZIP,PL_PHONE,LONGITUDE,LATITUDE,PEC_ZONE,MARKET_REG,WORLD_ID,COUNTY_ID,COUNTY_DES,ACT_DESC,COMPLETION,CO_PRECISN,SCOPE,SCHEDULE,PLANT_ID,PL_PARENT,PARENTNAME,PRJ_QCDATE,CAP_DESC,REPORT_LINK,PROJ_PROB
Industrial Manufacturing,42000000,USD,23-Sep-25,MENOMONEE FALLS POWER TOOLS & EQUIPMENT MANUFACTURING PLANT RENOVATION,Revamp,"Machine Tools, Metal Cutting Types",Drill presses (machine tools)-mfg,Milwaukee Electric Tool Corporation,Under Construction,"Machine Tools, Metal Cutting Types",Menomonee Falls Power Tools & Equipment,Techtronic Industries Company Limited,100 Heritage Reserve,Menomonee Falls,WI,Wisconsin,U.S.A.,53051,+1 2627813600,-88.072161,43.153109,WI*02,Great Lakes U.S.A.,1,,Waukesha,Construction - Merit Shop,30-Apr-26,YEAR,"Milwaukee Electric Tool Corporation (Owner) with Stephen Perry Smith Architects, Incorporated (Architect) and Riley Construction Company Incorporated (G/C) performs Construction for a Power Tools & Equipment Manufacturing Plant Renovation. DETAILS: Within Existing 22-Acre Property, Within Existing 164,306 sqft Vacant Building, perform Renovations and Structural Modifications plus Install New Production and Supporting Equipment and Systems to Support Businesses that Export Goods and Services beyond the Region. REQUIRES: Building Renovations and Structural Modifications, Lighting, Assembly Lines and Tools, CNC Routers, Drills, Welding Equipment, Metal Forming Equipment, CNC Lathes and Machining, Feeders, Conveyors, Compressors (Air), Motors (VS), Finishing Equipment, Packaging Equipment, MCC plus Controls (PLC). ENVIRONMENTAL: (A) Ventilation and Exhaust, Ducting, Fans.","Milwaukee Electric Tool Corporation with Stephen Perry Smith Architects, Incorporated and Riley Construction Company Incorporated continues with PConstruction. Milwaukee Electric Tool Corporation with Riley Construction Company Incorporated Releases Equipment RFQ's and Bid Documents plus Reviews and Selects Remaining Subcontractors as needed 4Q25 (Oct) - 2Q26 as needed. Power Tools Manufacturing Plant Renovation Construction Kicked-Off 3Q25 (Sep). Estimated Project Completion 2Q26 (Apr).",3657975,1518028,Milwaukee Electric Tool Corporation,4-Nov-25,,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301115029,High (81-99%)
Industrial Manufacturing,1800000000,USD,12-Jun-25,PORT WASHINGTON DATA CENTER CAMPUS EXP PHASE II BLDG 11 (PROJECT LIGHTHOUSE),Plant Expansion,Computer Processing & Processing Services,Hyperscale Data Center,Vantage Data Centers,Engineered,Computer Processing & Processing Services,Port Washington Data Center Campus (Project Lighthouse),DigitalBridge Group Incorporated,Dixie Road and West of Interstate 43,Port Washington,WI,Wisconsin,U.S.A.,53074,+1 5712441940,-87.851423,43.433861,WI*02,Great Lakes U.S.A.,1,,Ozaukee,Market Analysis,31-Jan-31,YEAR,"Vantage Data Centers (Owner) with OpenAI Incorporated and Oracle Corporation (Owner), Langan Engineering & Environmental Services Incorporated (Engineering), R. G. Vanderweil Engineers LLP (Engineering), L A Fuess Partners Structural Engineers (Structural Engineer) and Corgan Associates (Architect) performs Market Analysis for a Data Center Campus Expansion Phase II Building 11 (Project Lighthouse). DETAILS: As Part of a 3.5GW, (11) Building Data Center Campus on 1,900-acre Site, Construct a Data Center Building 11 (Size Unspecified) plus Install Supporting Equipment and Systems in order to Support Artificial Intelligence Data Center Operations for Hyperscale Users. REQUIRES: Building, Lighting, Backup Generators, Closed-Loop Liquid Cooling System, UPS Systems, Electrical Lightning Protection, Advanced Fire Detection/Suppression, Fuel Storage Tanks, Battery Banks, Static Transfer Switches, Cable Trays, Computer Equipment, Mechanical Equipment Room, Telecommunications Cabling Systems, Information Technology (IT) Equipment, Fans, Breakers, Servers, Racks, Fiber Optic Telecommunication Networking Equipment, Switchgear, Transformers, Back-Up Servers, MCC plus Controls (PLC). ENVIRONMENTAL: (A) Ventilation and Exhaust Systems, Ducting, Fans.","Vantage Data Centers with OpenAI Incorporated and Oracle Corporation, Langan Engineering & Environmental Services Incorporated, R. G. Vanderweil Engineers LLP, L A Fuess Partners Structural Engineers and Corgan Associates continues with Market Analysis through Preliminary Engineering 1Q29 (Feb). Upon Final Plan and Permit Approvals, Vantage Data Centers selects G/C 2Q29 (Apr). G/C releases Equipment RFQs and Bid Documents plus reviews and selects Subcontractors 2Q29 (Jun). Construction is tentatively Scheduled to Kick-Off 3Q29 (Jul). Expected Project Completion 1Q31 (Jan).",3639220,3182032,Vantage Data Centers,4-Nov-25,Data Center Load,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301083917,Medium (70-80%)
Industrial Manufacturing,1800000000,USD,12-Jun-25,PORT WASHINGTON DATA CENTER CAMPUS EXP PHASE II BLDG 10 (PROJECT LIGHTHOUSE),Plant Expansion,Computer Processing & Processing Services,Hyperscale Data Center,Vantage Data Centers,Engineered,Computer Processing & Processing Services,Port Washington Data Center Campus (Project Lighthouse),DigitalBridge Group Incorporated,Dixie Road and West of Interstate 43,Port Washington,WI,Wisconsin,U.S.A.,53074,+1 5712441940,-87.851423,43.433861,WI*02,Great Lakes U.S.A.,1,,Ozaukee,Market Analysis,30-Sep-30,YEAR,"Vantage Data Centers (Owner) with OpenAI Incorporated and Oracle Corporation (Owner), Langan Engineering & Environmental Services Incorporated (Engineering), R. G. Vanderweil Engineers LLP (Engineering), L A Fuess Partners Structural Engineers (Structural Engineer) and Corgan Associates (Architect) performs Market Analysis for a Data Center Campus Expansion Phase II Building 10 (Project Lighthouse). DETAILS: As Part of a 3.5GW, (11) Building Data Center Campus on 1,900-acre Site, Construct a Data Center Building 10 (Size Unspecified) plus Install Supporting Equipment and Systems in order to Support Artificial Intelligence Data Center Operations for Hyperscale Users. REQUIRES: Building, Lighting, Backup Generators, Closed-Loop Liquid Cooling System, UPS Systems, Electrical Lightning Protection, Advanced Fire Detection/Suppression, Fuel Storage Tanks, Battery Banks, Static Transfer Switches, Cable Trays, Computer Equipment, Mechanical Equipment Room, Telecommunications Cabling Systems, Information Technology (IT) Equipment, Fans, Breakers, Servers, Racks, Fiber Optic Telecommunication Networking Equipment, Switchgear, Transformers, Back-Up Servers, MCC plus Controls (PLC). ENVIRONMENTAL: (A) Ventilation and Exhaust Systems, Ducting, Fans.","Vantage Data Centers with OpenAI Incorporated and Oracle Corporation, Langan Engineering & Environmental Services Incorporated, R. G. Vanderweil Engineers LLP, L A Fuess Partners Structural Engineers and Corgan Associates continues with Market Analysis through Preliminary Engineering 4Q28 (Oct). Upon Final Plan and Permit Approvals, Vantage Data Centers selects G/C 4Q29 (Dec). G/C releases Equipment RFQs and Bid Documents plus reviews and selects Subcontractors 1Q29 (Feb). Construction is tentatively Scheduled to Kick-Off 1Q29 (Mar). Expected Project Completion 3Q30 (Sep).",3639220,3182032,Vantage Data Centers,4-Nov-25,Data Center Load,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301083916,Medium (70-80%)
Industrial Manufacturing,1800000000,USD,12-Jun-25,PORT WASHINGTON DATA CENTER CAMPUS EXP PHASE II BLDG 9 (PROJECT LIGHTHOUSE),Plant Expansion,Computer Processing & Processing Services,Hyperscale Data Center,Vantage Data Centers,Engineered,Computer Processing & Processing Services,Port Washington Data Center Campus (Project Lighthouse),DigitalBridge Group Incorporated,Dixie Road and West of Interstate 43,Port Washington,WI,Wisconsin,U.S.A.,53074,+1 5712441940,-87.851423,43.433861,WI*02,Great Lakes U.S.A.,1,,Ozaukee,Market Analysis,31-May-30,YEAR,"Vantage Data Centers (Owner) with OpenAI Incorporated and Oracle Corporation (Owner), Langan Engineering & Environmental Services Incorporated (Engineering), R. G. Vanderweil Engineers LLP (Engineering), L A Fuess Partners Structural Engineers (Structural Engineer) and Corgan Associates (Architect) performs Market Analysis for a Data Center Campus Expansion Phase II Building 9 (Project Lighthouse). DETAILS: As Part of a 3.5GW, (11) Building Data Center Campus on 1,900-acre Site, Construct a Data Center Building 9 (Size Unspecified) plus Install Supporting Equipment and Systems in order to Support Artificial Intelligence Data Center Operations for Hyperscale Users. REQUIRES: Building, Lighting, Backup Generators, Closed-Loop Liquid Cooling System, UPS Systems, Electrical Lightning Protection, Advanced Fire Detection/Suppression, Fuel Storage Tanks, Battery Banks, Static Transfer Switches, Cable Trays, Computer Equipment, Mechanical Equipment Room, Telecommunications Cabling Systems, Information Technology (IT) Equipment, Fans, Breakers, Servers, Racks, Fiber Optic Telecommunication Networking Equipment, Switchgear, Transformers, Back-Up Servers, MCC plus Controls (PLC). ENVIRONMENTAL: (A) Ventilation and Exhaust Systems, Ducting, Fans.","Vantage Data Centers with OpenAI Incorporated and Oracle Corporation, Langan Engineering & Environmental Services Incorporated, R. G. Vanderweil Engineers LLP, L A Fuess Partners Structural Engineers and Corgan Associates continues with Market Analysis through Preliminary Engineering 2Q28 (Jun). Upon Final Plan and Permit Approvals, Vantage Data Centers selects G/C 3Q28 (Aug). G/C releases Equipment RFQs and Bid Documents plus reviews and selects Subcontractors 4Q28 (Oct). Construction is tentatively Scheduled to Kick-Off 4Q28 (Nov). Expected Project Completion 2Q30 (May).",3639220,3182032,Vantage Data Centers,4-Nov-25,Data Center Load,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301083915,Medium (70-80%)
Industrial Manufacturing,1800000000,USD,12-Jun-25,PORT WASHINGTON DATA CENTER CAMPUS EXP PHASE II BLDG 8 (PROJECT LIGHTHOUSE),Plant Expansion,Computer Processing & Processing Services,Hyperscale Data Center,Vantage Data Centers,Engineered,Computer Processing & Processing Services,Port Washington Data Center Campus (Project Lighthouse),DigitalBridge Group Incorporated,Dixie Road and West of Interstate 43,Port Washington,WI,Wisconsin,U.S.A.,53074,+1 5712441940,-87.851423,43.433861,WI*02,Great Lakes U.S.A.,1,,Ozaukee,Market Analysis,31-Jan-30,YEAR,"Vantage Data Centers (Owner) with OpenAI Incorporated and Oracle Corporation (Owner), Langan Engineering & Environmental Services Incorporated (Engineering), R. G. Vanderweil Engineers LLP (Engineering), L A Fuess Partners Structural Engineers (Structural Engineer) and Corgan Associates (Architect) performs Market Analysis for a Data Center Campus Expansion Phase II Building 8 (Project Lighthouse). DETAILS: As Part of a 3.5GW, (11) Building Data Center Campus on 1,900-acre Site, Construct a Data Center Building 8 (Size Unspecified) plus Install Supporting Equipment and Systems in order to Support Artificial Intelligence Data Center Operations for Hyperscale Users. REQUIRES: Building, Lighting, Backup Generators, Closed-Loop Liquid Cooling System, UPS Systems, Electrical Lightning Protection, Advanced Fire Detection/Suppression, Fuel Storage Tanks, Battery Banks, Static Transfer Switches, Cable Trays, Computer Equipment, Mechanical Equipment Room, Telecommunications Cabling Systems, Information Technology (IT) Equipment, Fans, Breakers, Servers, Racks, Fiber Optic Telecommunication Networking Equipment, Switchgear, Transformers, Back-Up Servers, MCC plus Controls (PLC). ENVIRONMENTAL: (A) Ventilation and Exhaust Systems, Ducting, Fans.","Vantage Data Centers with OpenAI Incorporated and Oracle Corporation, Langan Engineering & Environmental Services Incorporated, R. G. Vanderweil Engineers LLP, L A Fuess Partners Structural Engineers and Corgan Associates continues with Market Analysis through Preliminary Engineering 1Q28 (Feb). Upon Final Plan and Permit Approvals, Vantage Data Centers selects G/C 2Q28 (Apr). G/C releases Equipment RFQs and Bid Documents plus reviews and selects Subcontractors 2Q28 (Jun). Construction is tentatively Scheduled to Kick-Off 3Q28 (Jul). Expected Project Completion 1Q30 (Jan).",3639220,3182032,Vantage Data Centers,4-Nov-25,Data Center Load,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301083913,Medium (70-80%)
Industrial Manufacturing,1800000000,USD,12-Jun-25,PORT WASHINGTON DATA CENTER CAMPUS EXP PHASE II BLDG 7 (PROJECT LIGHTHOUSE),Plant Expansion,Computer Processing & Processing Services,Hyperscale Data Center,Vantage Data Centers,Engineered,Computer Processing & Processing Services,Port Washington Data Center Campus (Project Lighthouse),DigitalBridge Group Incorporated,Dixie Road and West of Interstate 43,Port Washington,WI,Wisconsin,U.S.A.,53074,+1 5712441940,-87.851423,43.433861,WI*02,Great Lakes U.S.A.,1,,Ozaukee,Market Analysis,30-Sep-29,YEAR,"Vantage Data Centers (Owner) with OpenAI Incorporated and Oracle Corporation (Owner), Langan Engineering & Environmental Services Incorporated (Engineering), R. G. Vanderweil Engineers LLP (Engineering), L A Fuess Partners Structural Engineers (Structural Engineer) and Corgan Associates (Architect) performs Market Analysis for a Data Center Campus Expansion Phase II Building 7 (Project Lighthouse). DETAILS: As Part of a 3.5GW, (11) Building Data Center Campus on 1,900-acre Site, Construct a Data Center Building 7 (Size Unspecified) plus Install Supporting Equipment and Systems to Support Artificial Intelligence Data Center Operations for Hyperscale Users. REQUIRES: Building, Lighting, Backup Generators, Closed-Loop Liquid Cooling System, UPS Systems, Electrical Lightning Protection, Advanced Fire Detection/Suppression, Fuel Storage Tanks, Battery Banks, Static Transfer Switches, Cable Trays, Computer Equipment, Mechanical Equipment Room, Telecommunications Cabling Systems, Information Technology (IT) Equipment, Fans, Breakers, Servers, Racks, Fiber Optic Telecommunication Networking Equipment, Switchgear, Transformers, Back-Up Servers, MCC plus Controls (PLC). ENVIRONMENTAL: (A) Ventilation and Exhaust Systems, Ducting, Fans.","Vantage Data Centers with OpenAI Incorporated and Oracle Corporation, Langan Engineering & Environmental Services Incorporated, R. G. Vanderweil Engineers LLP, L A Fuess Partners Structural Engineers and Corgan Associates continues with Market Analysis through Preliminary Engineering 4Q27 (Oct). Upon Final Plan and Permit Approvals, Vantage Data Centers selects G/C 4Q28 (Dec). G/C releases Equipment RFQs and Bid Documents plus reviews and selects Subcontractors 1Q28 (Feb). Construction is tentatively Scheduled to Kick-Off 1Q28 (Mar). Expected Project Completion 3Q29 (Sep).",3639220,3182032,Vantage Data Centers,4-Nov-25,Data Center Load,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301083909,Medium (70-80%)
Industrial Manufacturing,500000000,USD,2-Nov-25,MONTICELLO (SCANNELL TECHNOLOGY PARK) DATA CENTER CAMPUS EXPANSION BUILDING 4,Plant Expansion,Computer Processing & Processing Services,Hyperscale Data Center,Scannell Properties Incorporated,Planned,Computer Processing & Processing Services,Monticello (Scannell Technology Park) Data Center Campus,Scannell Properties Incorporated,Scannell Technology Park,Monticello,MN,Minnesota,U.S.A.,55362,+1 3178435959,-93.83662,45.312986,MN*02,Midwest U.S.A.,1,,Wright,Market Analysis,31-Mar-28,YEAR,"Scannell Properties Incorporated (Owner) performs Market Analysis for a Data Center Campus (Scannell Technology Park) Expansion Building 4. DETAILS: As Part of a $2 Billion, (4) Building 1.3MM sqft, 150MW Data Center Campus Development, Construct a Single Story 320,000 sqft Data Center Building 4 plus Install Supporting Equipment and Systems to Provide Data Center Services to the Region. REQUIRES: Building, Server Room/Computer Equipment Room, Uninterruptible Power Supplies, Battery Banks, Static Transfer Switches, Cable Trays, Lighting, Fire Protection Systems, Mechanical Equipment, Telecommunications Cabling Systems, Information Technology (IT) Equipment, Environmental Controls Equipment, Chillers, Cooling Towers, Temperature Controls, Fans, Back-Up Generators, Backup Power Supplies, Data Communication Connections, Fire Suppression, Transformers, Breakers, Servers, Racks, Back-Up Servers, MCC plus Controls (PLC). ENVIRONMENTAL: (A) Ventilation and Exhaust Systems; Ducting, Fans.","Scannell Properties Incorporated continues with Scope Definition through Preliminary Engineering 4Q26 (Oct). Upon Final Plan and Capital Approvals, Scannell Properties Incorporated selects G/C 4Q26 (Dec). G/C releases Equipment RFQs and Bid Documents plus reviews and selects Subcontractors 1Q27 (Jan). Construction is tentatively Scheduled to Kick-Off 1Q27 (Mar). Expected Project Completion 1Q28 (Mar).",3663921,1091109,Scannell Properties Incorporated,4-Nov-25,,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301128731,Medium (70-80%)
Industrial Manufacturing,500000000,USD,2-Nov-25,MONTICELLO (SCANNELL TECHNOLOGY PARK) DATA CENTER CAMPUS EXPANSION BUILDING 3,Plant Expansion,Computer Processing & Processing Services,Hyperscale Data Center,Scannell Properties Incorporated,Planned,Computer Processing & Processing Services,Monticello (Scannell Technology Park) Data Center Campus,Scannell Properties Incorporated,Scannell Technology Park,Monticello,MN,Minnesota,U.S.A.,55362,+1 3178435959,-93.83662,45.312986,MN*02,Midwest U.S.A.,1,,Wright,Market Analysis,31-Jan-28,YEAR,"Scannell Properties Incorporated (Owner) performs Market Analysis for a Data Center Campus (Scannell Technology Park) Expansion Building 3. DETAILS: As Part of a $2 Billion, (4) Building 1.3MM sqft, 150MW Data Center Campus Development, Construct a Single Story 320,000 sqft Data Center Building 3 plus Install Supporting Equipment and Systems to Provide Data Center Services to the Region. REQUIRES: Building, Server Room/Computer Equipment Room, Uninterruptible Power Supplies, Battery Banks, Static Transfer Switches, Cable Trays, Lighting, Fire Protection Systems, Mechanical Equipment, Telecommunications Cabling Systems, Information Technology (IT) Equipment, Environmental Controls Equipment, Chillers, Cooling Towers, Temperature Controls, Fans, Back-Up Generators, Backup Power Supplies, Data Communication Connections, Fire Suppression, Transformers, Breakers, Servers, Racks, Back-Up Servers, MCC plus Controls (PLC). ENVIRONMENTAL: (A) Ventilation and Exhaust Systems; Ducting, Fans.","Scannell Properties Incorporated continues with Market Analysis through Preliminary Engineering 3Q26 (Sep). Upon Final Plan and Capital Approvals, Scannell Properties Incorporated selects G/C 4Q26 (Oct). G/C releases Equipment RFQs and Bid Documents plus reviews and selects Subcontractors 4Q26 (Dec). Construction is tentatively Scheduled to Kick-Off 1Q27 (Jan). Expected Project Completion 1Q28 (Jan).",3663921,1091109,Scannell Properties Incorporated,4-Nov-25,Data Center Load,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301128732,Medium (70-80%)
Industrial Manufacturing,250000000,USD,19-Mar-25,NEW ALBANY DATA CENTER BUILDING EXPANSION (LC03),Plant Expansion,Computer Processing & Processing Services,Hyperscale Data Center,Meta Platforms Incorporated,Under Construction,Computer Processing & Processing Services,New Albany LCO1 & LCO2,Meta Platforms Incorporated,1500 Beech Road,New Albany,OH,Ohio,U.S.A.,43054,+1 6505434800,-82.740948,40.064266,OH*03,Great Lakes U.S.A.,1,,Licking,Project Justification,30-Sep-27,YEAR,"Meta Platforms (Owner) with Sheehan Nagle Hartray Architects (SNHA) (Architect) performs Project Justification for a Data Center Building Expansion (LCO3). DETAILS: Construct a 300,000 sqft Data Center Building plus Install Supporting Equipment to Support Data Center Operations in the Region. REQUIRES: Building, Server Room/Computer Equipment Room, Uninterruptible Power Supplies, Battery Banks, Static Transfer Switches, Cable Trays, Fire Protection Systems, Mechanical Equipment, Telecommunications Cabling Systems, Information Technology (IT) Equipment, Environmental Controls Equipment, Chillers, Cooling Equipment, Temperature Controls, Fans, Back-Up Generators, Backup Power Supplies, Data Communication Connections, Transformers, Breakers, Servers, Racks, MCC plus Controls (PLC). ENVIRONMENTAL: (A) Ventilation and Exhaust System, Ducting, Fans; (L) Containment; (W) Waste Water Treatment.","Meta Platforms with Sheehan Nagle Hartray Architects continues with Project Justification through 1Q26 (Mar). Upon Finalization of Plans, Meta Platforms reviews and selects (G/C) 2Q26 (Apr). Meta Platforms with (G/C) then releases Equipment RFQs and Bid Documents plus Reviews and Selects Subcontractors 2Q26 (May). Data Center Building Expansion (LC03) is Tentatively Scheduled to Kick-Off 2Q26 (Jun). Estimated Project Completion 3Q27 (Sep).",3625554,3088549,Meta Platforms Incorporated,4-Nov-25,Data Center Load,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301059402,Medium (70-80%)
Industrial Manufacturing,500000000,USD,10-Feb-25,MARYSVILLE GRASSROOT DATA CENTER CAMPUS (PROJECT COSMOS) BUILDING A,Grassroot,Computer Processing & Processing Services,Hyperscale Data Center,Amazon Web Services,Planned,Computer Processing & Processing Services,Marysville Data Center Campus (Project Cosmos),Amazon,14684 Industrial Parkway,Marysville,OH,Ohio,U.S.A.,43040,+1 7034644900,-83.32593,40.22004,OH*03,Great Lakes U.S.A.,1,,Union,Detailed Design,31-Dec-27,YEAR,"Amazon Web Services (AWS) (Owner) with Kimley-Horn and Associates Incorporated (Civil Engineer), Ci Design, Incorporated (Architect), Bennett & Pless Incorporated (Structural Engineer) and Vanderweil Engineers (MEP Engineer) performs Detailed Design for a Grassroot Data Center Campus (Project Cosmos) Building A. DETAILS: As Part of a (2) Building Data Center Campus Development of 55.5-acre Site within the Innovation Industrial Parkway Development, Construct a Single Story, 215,500 sqft Data Center Building A plus Install Supporting Equipment and Systems to Support Data Center Operations in the Region. REQUIRES: Building, Lighting, Power Distribution Systems, Overhead Cable Trays, Data Patch Panels, Fiber Optics, Diesel Generators, Uninterruptible Power Supply (UPS), Racks, Cooling Systems, Water Supply System, Heat Exchangers, Server Room/Computer Equipment Room, Mechanical Equipment Room, Power Distribution Systems, Data Patch Panels, Telecommunications Cabling Systems, Information Technology (IT) Equipment, Chillers, Cooling Towers, Temperature Controls, Fans, Switchgear, Transformers, Breakers, Back-Up Servers, Batteries, Fire Protection Systems, Storage Devices, Cables, Fire Suppression System, Motors (VS), MCC plus Controls (PLC). ENVIRONMENTAL: (A) Ventilation and Exhaust Systems, Ducting, Fans; (L) Containment, Drainage; (W) Wastewater Treatment.","Amazon Web Services (AWS) with Kimley-Horn and Associates Incorporated, Ci Design, Incorporated, Bennett & Pless Incorporated and Vanderweil Engineers continues with Detailed Design through Preliminary Engineering 1Q26 (Mar). Upon Final Plan and Permit Approvals, Amazon Web Services (AWS) selects G/C 2Q26 (Apr). G/C releases Equipment RFQs and Bid Documents plus reviews and selects Subcontractors 2Q26 (May). Construction is tentatively Scheduled to Kick-Off 2Q26 (Jun). Expected Project Completion 4Q27 (Dec).",3627235,3324079,Amazon Web Services (AWS),4-Nov-25,Data Center Load,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301047953,Medium (70-80%)
Food & Beverage,15000000,USD,31-Aug-23,CROOKSTON BEET SUGAR FACTORY (VKT) CONTINUOUS VACUUM PAN ADDITION,Upgrade,Beet Sugar Manufacturing,Granulated beet sugar-mfg,American Crystal Sugar Company,Operational,Beet Sugar Manufacturing,Crookston Beet Sugar,American Crystal Sugar Company,1201 Hwy 75 South,Crookston,MN,Minnesota,U.S.A.,567162937,+1 2182811993,-96.633119,47.764376,MN*02,Midwest U.S.A.,1,,Polk,Project Scope,30-Oct-28,YEAR,"American Crystal Sugar Company has begun Developing Project Scope for Beet Sugar Factory (VKT) Continuous Vacuum Pan Addition. DETAILS: At Existing 5,900 T/d (2.15MM T/yr) Beet Sugar Factory, As Part of Corporate Plan, Perform Efficiency Upgrades to Improve Recovery Extraction in Mill by Constructing (1) new (VKT) Vertical Continuous Vacuum Pan plus Auxiliary Equipment. REQUIRES: Structural, Carbon Steel Fabrication, Tanks/Vessel, Calandria Evaporator, Cylindrical Shell, Agitators, Cooling Tower, Microwave Sensor, Centrifugals, Crystallizer Tower Vessel, Settling Tanks, Heat Exchangers, Evaporator, Separator, Condenser, Recirculation Pumps, Liquor Handling System, Chamber Units, Calandria Tubing, Baffles, Feeding & Cooling Systems, Agitator, Discharge Unit, Process Piping, Feeders, Conveyors, Automated System, Motors, Pumps, Drives, Fans, Compressor (Air), Heat Exchangers, Paddles, Process Controls (PLC, DCS, MCC) Integration & Utilities Tie-Ins plus Electrical Distribution. ENVIRONMENTAL: (A) Filtration System, Ventilation, Vapor Recovery Equipment, Dust Collection System, Vents, Exhaust System; Ducting; (L) Spill Containment.","American Crystal Sugar Company continues Developing Project Scope for Beet Sugar Factory Continuous Vacuum Pan Addition thru 1Q24 (Jan) and anticipates finalizing Scope by 2Q25 (May) and receiving Final AFE Approval by 4Q28 (Jan). Subject to Approval, American Crystal Sugar Company releases RFQs and Bid Documents (ICS or Similar Preferred Vendor) 4Q27 (Nov) thru 1Q28 (Jan). Construction Kick-Off 2Q28 (May). Project Completion 4Q28 (Oct).",1025113,1035435,American Crystal Sugar Company,4-Nov-25,"Beet Sugar, Raw",https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=300910701,Low (0-69%)
Food & Beverage,5000000,USD,6-Jul-23,DAWSON SOYBEAN PROCESSING PLANT BEAN RECEIVING & MEAL LOAD-OUT UPGRADE,Upgrade,Soybean Oil Mills,"Oil, soybean-mfg",AG Processing Incorporated,Operational,Soybean Oil Mills,Dawson Soybean Processing,AG Processing Incorporated,800 Diagonal Street,Dawson,MN,Minnesota,U.S.A.,562322373,+1 3207694386,-96.057686,44.932745,MN*01,Midwest U.S.A.,1,,Lac Qui Parle,Market Analysis,30-Sep-28,YEAR,"AG Processing Incorporated has begun Market Analysis for Soybean Processing Plant Bean Receiving & Meal Load-Out Upgrade. DETAILS: At existing 900,000 T/yr Soybean Processing Plant, as Part of 5-Year Capital Plan, Perform Upgrade to (1) old Bean Receiving System & Meal Load-Out System plus Auxiliary Equipment. REQUIRES: Stainless Steel Fabrication, Equipment Pads (Concrete), Receiving Pit, Modifications to Load-Out System, Receiving Leg, Aspirator Machines, Vibrators, Nozzles, Conveyor Systems, Jets, Screens, Buckets, Head & Tail Assembly, Motors, Drives, Shafts, Belts, Unloading Equipment, Hoppers, Auger System, Decks, Grates, Pneumatics, Chutes, Pulleys, Gears, Inlet/Outlet Devices, Auger Gate & Tubing, Process Controls (PLC) & Tie-Ins plus Electrical Distribution. ENVIRONMENTAL: (A) Ventilation, Ducting, Dust Collectors; (L) Spill Containment.","AG Processing Incorporated continues Market Analysis for Soybean Processing Plant Bean Receiving & Meal Load-Out Upgrade thru 3Q24 (Jul) and anticipates finalizing Scope by 3Q27 (Aug) and receiving Final AFE Approval by 1Q28 (Jan). Subject to Approval, AG Processing Incorporated releases RFQs and Bid Documents 1Q28 (Jan-Mar). Construction Kick-Off 3Q28 (Aug). Project Completion 3Q28 (Sep).",1504914,1026816,AG Processing Incorporated,4-Nov-25,Soybeans,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=300896118,Low (0-69%)
