IND_DESC,LOCAL_TIV,LOCAL_CURRENCY,REPORTDATE,PROJ_NAME,PROJECT_TYPE,PJ_SIC_NAM,SICPRODUCT,OWNER_NAME,P_STATUS_D,P_SIC_DESC,PLANT_NAME,P_ULT_NAME,PLANT_ADDR,PLANT_CITY,PLANT_ST,PL_ST_NAME,PL_COUNTRY,PL_PHONE,LONGITUDE,LATITUDE,PEC_ZONE,MARKET_REG,WORLD_ID,COUNTY_DES,ACT_DESC,COMPLETION,CO_PRECISN,SCOPE,SCHEDULE,PLANT_ID,PL_PARENT,PARENTNAME,REPORT_LINK,KO_SLIP,PROJ_PROB
Chemical Processing (CPI),1000000,USD,30-Oct-25,COMMERCE CLEANING CHEMICAL BLENDING PLANT 2027 MAINTENANCE PROGRAM,Maintenance Program,"Specialty Cleaning, Polishing & Sanitation Preparations",Automobile polishes-mfg,Univar USA Incorporated,Operational,"Specialty Cleaning, Polishing & Sanitation Preparations",Commerce Cleaning Chemical Blending,Univar Solutions,2600 South Garfield Avenue,Commerce,CA,California,U.S.A.,+1 3237277005,-118.133078,33.992087,CA*08,West Coast U.S.A.,1,Los Angeles [souther,Maintenance Programs,31-Oct-27,QUARTER,"Univar performs Planning and Scheduling for Cleaning Chemicals Plant 2027 Maintenance Turnaround Program. PERFORM ROUTINE INSPECTION AND REPAIRS TO: Cleaning Chemicals plant consisting of numerous production lines, silos and tank farm plus area utilities. REQUIRES MRO/NDE AND PM OF: Heat Exchangers, Reactor Vessels, (40) Process Tanks, Filling Equipment, Process Piping (SS/Stainless Steel, CS/Carbon Steel, Hastelloy, FRP, PVC), Pipe Racks, Mills, Feeders, Mixing and Blending Equipment, Condensers, Separators, Blowers, Fans, Vacuum Pumps, Motors, Tanks, Control Valves, Controls (DCS), Compressors (Gas & Air), Level Indicators, Temperature Sensors. ENVIRONMENTAL MRO & PM OF: (A) Vent System, Ducting, Scrubber, Baghouse.","Univar continues with Planning and Scheduling through 4Q26 (Dec). Upon completion of Scheduling, Univar begins to release Equipment RFQ's and Subcontractor Bid Documents 1Q27 (Feb)-3Q27 as needed. 3 to 5-Day Outages staggered throughout the year to Kick-Off 2Q27 (Apr) as needed. Project Completion 4Q27 (Oct).",3412891,1007131,Univar USA Incorporated,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301128087,0,Medium (70-80%)
Industrial Manufacturing,27000000,USD,22-Jan-24,SAN JOSE SOLAR PANELS MANUFACTURING PLANT RENOVATION,Revamp,Semiconductors & Related Devices,Solar cells-mfg,Tandem PV Incorporated,Under Construction,Semiconductors & Related Devices,San Jose Solar Panels,Tandem PV Incorporated,Dado Street,San Jose,CA,California,U.S.A.,+1 2142894070,-121.91362,37.38846,CA*03,West Coast U.S.A.,1,Santa Clara,Construction - Merit Shop,31-Dec-25,QUARTER,"Tandem PV Incorporated (Owner) performs Preliminary Design for a Solar Panels Manufacturing Plant Construction. DETAILS: At a Vacant Industrial Site, Perform Building Renovations on an Existing Building (Sqft TBD) plus Install Production Equipment and Supporting Systems in order to Produce Perovskite Solar Panels. REQUIRES: Building Renovations, Oxidation Furnaces, Extruders, Gas Supply System, Conveyors, Cell Processing Equipment, Static Reduction Equipment, Assembly and Testing Stations, Water Purification Systems, Chillers, Robotics, CNC Machining Equipment, Chemical Delivery System, Compressors (Air), Material Handling Equipment, Packaging Equipment, MCC plus Controls (PLC). ENVIRONMENTAL: (A) Ventilation and Exhaust System, Ducting, Fans.",Tandem PV Incorporated continues with Construction. Tandem PV Incorporated Reviews and Selects Specialty Subcontractors as needed 2Q24 (Jun). The Solar Panels Manufacturing Plant Renovation Kick-Off 3Q24 (Jul). Estimated Project Completion 4Q25 (Dec).,3578598,3481912,Tandem PV Incorporated,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=300947301,0,High (81-99%)
Industrial Manufacturing,120000000,USD,23-Jun-22,SAN JOSE DATA CENTER 100.8MW MICROGRID ADDITION,Electricity Distribution,Electric power transmission or distribution,Micro Grid,Enchanted Rock Limited,Under Construction,Computer Processing & Processing Services,San Jose Data Center Campus (SJC02/03),Microsoft Corporation,1657 Alviso-Milpitas Road,San Jose,CA,California,U.S.A.,+1 4258828080,-121.928488,37.425024,CA*03,West Coast U.S.A.,1,Santa Clara,Construction - Merit Shop,24-Jul-26,YEAR,"Enchanted Rock Limited/Microsoft Corporation (Technology Provider/Compliance) with Jacobs Engineering Group Incorporated (Consultant) performs Construction for a 100.8MW Microgrid Addition. DETAILS: At 1595 and 1657 Alvisio-Milpitas Road, Site of (2) Planned Data Centers, SJC02 and SJC03, Construct a 100.8MW Dual-Purpose Microgrid Comprised of (224) 0.45MW Natural-Gas Fired Generac Generators (Manufacturer, Pref.) and a 115kV Substation with (2) 115kV Electrical Supply Lines to Provide Electrical Resiliency to the Hyperscale Data Center Operations in Case of Emergency or Unavailable Power Supply from Pacific Gas & Electric's Utility System. Microgrid will have Additional Support from a 1.25MW Caterpillar Diesel Generator at SJC02 and a 0.5MW Diesel Generator at SJC03. REQUIRES: (224) Natural Gas Generators, (2) Diesel-Fired Generators, Switchgears, Tie-Ins, Electrical Fuel Distribution System, Control Units, Fuel Storage Tanks, Compressors (Gas), Steam Line, Heat Exchangers, Steam Piping, BFW System, Super Heaters, Economizers, Header Manifolds, Circuit Breakers, High Voltage Cables, Cable Trays, Cooling System, Automatic Transfer Switches, Voltage Regulators, Surge Protectors, Relays, Underground Utility Work, MCC plus Controls (PLC). ENVIRONMENTAL: (A) Ventilation and Exhaust System, Ducting, Fans, CEMS; (L) Landscaping.","Enchanted Rock Limited/Microsoft Corporation with Jacobs Engineering Group Incorporated continue with Construction. Upon Final Funding/Permit Approvals, Enchanted Rock Limited releases RFQs and Bid Documents for Subcontractors & Vendors 3Q25 (Sep) - 3Q26. Construction Kicked-Off 4Q23 (Oct). Expected Project Completion 3Q26 (Jul).",3493117,3091882,Microsoft Corporation,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=300800241,0,High (81-99%)
Industrial Manufacturing,500000000,USD,27-Jan-22,SAN JOSE DATA CENTER CAMPUS PHASE II EXPANSION (SJC03),Plant Expansion,Computer Processing & Processing Services,Hyperscale Data Center,Microsoft Corporation,Under Construction,Computer Processing & Processing Services,San Jose Data Center Campus (SJC02/03),Microsoft Corporation,1657 Alviso-Milpitas Road,San Jose,CA,California,U.S.A.,+1 4258828080,-121.928488,37.425024,CA*03,West Coast U.S.A.,1,Santa Clara,Detailed Design,30-Jun-27,YEAR,"Microsoft Corporation (Owner) with HMH Engineers (Civil Engineer), Black & Veatch, Jacobs Engineering Group Incorporated and Stantec (Engineering) performs Detailed Design for a Grassroot Data Center Phase I. DETAILS: As part of an up to 99MW, 396,914 sqft Data Center Campus on a 65-acre Site, Construct a Single Story 152,238 sqft 50MW Data Center Building (SJC03) consisting of (3) Colocation Units and to include 13,826 sqft of Administrative and Support Buildings and Install (84) Natural Gas Standby Generators and (1) Diesel Standby Generator plus Install Supporting Equipment and Systems to Increase Capacity for Microsoft Services. REQUIRES: Building, Power Distribution Systems, Overhead Cable Trays, Data Patch Panels, Fiber Optics, Diesel Generators, Uninterruptible Power Supply (UPS), Racks, Turbo High-Performing Cooling Systems, Water Supply System, Heat Exchangers, Server Room/Computer Equipment Room, Mechanical Equipment Room, Power Distribution Systems, Electrical Switchgear, Surface Distribution Lines, Data Patch Panels, Telecommunications Cabling Systems, Information Technology (IT) Equipment, Chillers, Cooling Towers, Temperature Controls, Fans, Switchgear, Transformers, Breakers, Sub Station, Backup Power Generators, Back-Up Servers, Batteries, Fire Protection Systems, Storage Devices, Cables, Fire Suppression System, Lighting, MCC plus Controls (PLC). ENVIRONMENTAL: (A) Ventilation and Exhaust Systems, Ducting, Fans; (W) Wastewater Treatment.","Microsoft Corporation with HMH Engineers, Black & Veatch, Jacobs Engineering Group Incorporated and Stantec continue with Detailed Design through Preliminary Engineering 4Q25 (Nov). Upon Final Funding/Permit Approvals, Microsoft Corporation selects G/C 4Q25 (Nov). G/C releases Equipment RFQs and Bid Documents plus reviews and selects Subcontractors 4Q25 (Dec). Proposed Construction Kick-Off 1Q26 (Jan). Expected Project Completion 2Q27 (Jun).",3493117,3091882,Microsoft Corporation,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=300762646,28,Medium (70-80%)
Industrial Manufacturing,20000000,USD,30-Oct-25,PALMDALE GRASSROOT AEROSPACE COMPONENTS MANUFACTURING  PLANT,Grassroot,Aircraft Parts & Auxiliary Equipment,Aircraft body assemblies and parts-mfg,A.S. Aerospace,Under Construction,Aircraft Parts & Auxiliary Equipment,Palmdale Aerospace Components,A.S. Aerospace,Northwest Corner of Division Street and Grand Cypress Avenue,Palmdale,CA,California,U.S.A.,+1 6619643760,-118.13078,34.61479096,CA*09,West Coast U.S.A.,1,Los Angeles [norther,Detailed Engineering,30-Oct-26,YEAR,"A.S. Aerospace (Owner) with Intertex Companies (G/C) perform Detailed Engineering for a Grassroot Aerospace Components Manufacturing Plant. DETAILS: Construct in two-phases a 90,000 sqft Manufacturing Facility plus Install Supporting Equipment and Systems to expand Precision Manufacturing and Advanced Component Production. REQUIRES: Building, Lighting, Assembly Lines and Tools, CNC Machining Centers, CNC Mills, CNC Lathes, Grinders, Saws, Drill Presses, Press Brakes, Welding and Soldering Stations, Compressors (Air), Inspection and Testing Stations, Material Handling Equipment, Packaging Equipment, Motors (VS), MCC plus Controls (PLC). ENVIRONMENTAL: (A) Ventilation and Exhaust System, Ducting, Fans; (L) Containment and Drainage; (W) Wastewater Treatment.",A.S. Aerospace with Intertex Companies continues with Detailed Engineering. Intertex Companies releases Equipment RFQ's and Bid Documents plus Reviews and Selects remaining Subcontractors as needed 4Q25 (Nov). Site Preparation Kicked-Off 4Q25 (Oct). Grassroot Aerospace Components Manufacturing Plant Construction Kick-Off is set for 4Q25 (Dec). Estimated Project Completion 4Q26 (Oct).,3664392,3552595,A.S. Aerospace,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301127957,0,High (81-99%)
Chemical Processing (CPI),40000000,USD,12-Mar-25,PITTSBURG AIR SEPARATION PLANT EXPANSION,Plant Expansion,Industrial Gases,"Gases, industrial: compressed, liquefied, or solid-mfg",Linde,Operational,Industrial Gases,Pittsburg Air Separation,Linde PLC,2000 Loveridge Road,Pittsburg,CA,California,U.S.A.,+1 9254273932,-121.865735,38.013821,CA*03,West Coast U.S.A.,1,Contra Costa,Permitting,30-Nov-27,YEAR,"Linde performs Permitting for Air Separation Plant Expansion (Oakstone Northern California Expansion Project) . DETAILS: Expand Air Separation plant by installing a new unit to increase capacity of plant producing approximately 1,000 T/day Liquide Nitrogen, Oxygen and Argon to supply to neighboring steel plant. REQUIRES INSTALLATION/UPGRADES/MODIFICATIONS TO : Building/Structural, Foundations, Cold Box, Refrigeration System, Compressor (Air), Heat Exchanger, Distillation Column, Condenser, Liquefier, Storage Tanks, Piping (SS/Stainless Steel), Pumps and Motors (VS), Mass Flowmeters, Controls (DCS), Control Valves, Pipe Racks, Temperature Sensors, Level Indicators, Equipment Pads, MCC, Auxillary Equipment, Digital Transmitters/Controllers, Electric Utilities TIe-ins. ENVIRONMENTAL: (A) Vent System, Filters; (L) Containment; (W) Wastewater Treatment Tie-ins.","Linde continues Project Justification while awaiting final Permitting through 2Q26 (Apr). Upon receipt of Final Permits, Linde will release remaining Equipment RFQs and Subcontractor Bid Documents 2Q26 (Jun). Tentative Construction Kick-Off 3Q26 (Aug). Project Completion 4Q27 (Nov).",1017713,1033474,Linde PLC,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301057305,0,Medium (70-80%)
Food & Beverage,3000000,USD,30-Oct-25,YUBA CITY FRUIT PROCESSING LINE ADDITION,Equipment Addition,Crop Preparation Services for Market,"Fruit sorting, grading, and packing",Sunsweet Growers Incorporated,Operational,Crop Preparation Services for Market,Yuba City Fruit Packaging,Sunsweet Growers Incorporated,901 North Walton Avenue,Yuba City,CA,California,U.S.A.,+1 5306745010,-121.641756,39.138938,CA*02,West Coast U.S.A.,1,Sutter,Equipment Studies,30-Jun-26,MONTH,"Sunsweet Growers Incorporated has begun Equipment Studies for Fruit Processing Line Addition. DETAILS: At Existing (1,070,000 Sq.ft) Fruit Packing & Sorting Production Facility,  Construct (1) new Fruit Processing Line plus Auxiliary Equipment. REQUIRES: Stainless Steel Fabrication, Washers, Trimmers, Feeders, Scales, Bagger Machines, Robotics, Metal Detectors, Material Handling Equipment, Automated Systems, Pneumatics, Conveyor Systems, Sorters, Labelers & Sealers, Feeders, Motors, Drives, Belts, Weighers, Software & Monitoring Equipment, Process Controls (PLC, Pneumatics) & Tie-Ins plus Electrical Distribution. ENVIRONMENTAL: (A) Ventilation, Ducting; (L) Spill Containment.","Sunsweet Growers Incorporated continues Equipment Studies for Fruit Processing Line Addition thru 4Q25 (Oct) and anticipates receiving Final AFE Approval by 1Q26 (Jan). Subject to Approval, Sunsweet Growers Incorporated releases RFQs and Bid Documents 1Q26 (Jan-Mar). Construction Kick-Off 2Q26 (Apr). Project Completion 2Q26 (Jun).",1011248,1019965,Sunsweet Growers Incorporated,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301127483,0,Medium (70-80%)
Food & Beverage,170000000,USD,8-Jul-14,DANA POINT GRASSROOT DOHENY OCEAN DESALINATION PLANT,Grassroot,Water Supply,Desalination of Water,South Coast Water District,Planned,Water Supply,Dana Point Desalination,South Coast Water District,Del Obispo Street,Dana Point,CA,California,U.S.A.,+1 9494994555,-117.685586,33.466066,CA*08,West Coast U.S.A.,1,Orange,AFE Submittal,31-Dec-28,YEAR,"South Coast Water District with GHD Inc (Consultant) and Filanc-Acciona Team (PDBOM Joint Venture) has began AFE Submittal for Grassroot Doheny Ocean Desalination Plant. DETAILS: At Select (5-Acre) Grassroot Site located in Doheny, Construct (UNKNOWN sqft) Production Building, Construct Supply and Distribution Pipelines and Install new Reverse Osmosis Unit to process 5 MGD (5MM gal/dy) Seawater into Potable Drinking Water. REQUIRES: Site Preparation, Foundation, Buildings, Multiple Slant Intake Wells, Foundations/Concrete, Brine System, Storage Tanks, Intake/Discharge Pipelines, Pre-Treatment System, Reverse Osmosis Unit, Energy REcovery Systems, RO Concentrate Disposal, SCADA System, Chemical Delivery and Dosing Systems, Clean-In-Place System, Membrane Filtration System, Pipeline Surge Suppression System, Hi-Press Pumps, Flush Tank, Heat Exchangers, Utilities Tie-Ins plus Process Controls. ENVIRONMENTAL: (A) Ducting; (L) Containment; (W) Filtration System.","South Coast Water District with GHD Inc with Filanc-Acciona Team continues AFE Submittal for Grassroot Doheny Desalination Plant and anticipates Final Design and AFE Approval 3Q26 (Aug). Subject to Final Approvals, South Coast Water with GHD Inc with Filanc-Acciona Team releases any remaining RFQs and Bid Documents for Contractors and Sub-Contractors 2Q26 (Apr) through 2Q26 (Jun). Construction Kick-Off 3Q26 (Sep). Project Completion 4Q28 (Dec).",3126215,3117568,South Coast Water District,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=300172497,117,Low (0-69%)
Food & Beverage,14000000,USD,2-Nov-23,MADERA FOOD PREPARATIONS PLANT EXPANSION,Plant Expansion,Food Preparations,"Tortillas, fresh or refrigerated-mfg",Gruma Corporation,Operational,Food Preparations,Madera Food Preparations,Gruma Corporation,23865 Avenue 18,Madera,CA,California,U.S.A.,+1 5596753400,-120.115033,37.011917,CA*06,West Coast U.S.A.,1,Madera,Market Analysis,30-Dec-27,YEAR,"Gruma Corporation (Recently Acquired by Azteca Milling) has begun Market Analysis for Food Preparations Plant Expansion. DETAILS: At Existing 70,000 sqft Food Preparations Manufacturing Plant, Perform Expansion by Constructing new Food Preparations Production Facility (SQFT: Unknown) Addition plus Auxiliary Equipment. REQUIRES: Site Preparation, Foundation, Building, Structural Modifications, Heavy Load Flooring, Insulated Wall Panels, Doors, Stainless Steel Fabrication, Ingredient Receiving & Handling Equipment, Feeders, Processing Vessels, Flavoring & Seasoning Equipment, Cooker, Oven, Freezer/Cooler, Sealers, Labelers, Conveyors Systems, Robotics, Automated Systems, Material Handling Equipment, Ammonia Refrigeration System, Fillers, Air Flow & Temperature Controlled Systems, (Air) Compressors, Fire Protection & Inventory Management Systems, Belts, Motors, Drives, Tables, Stands, CIP (Clean-In-Place) System, Process Controls (PLC, Pneumatics, Utilities Tie-Ins plus Electrical Distribution. ENVIRONMENTAL: (A) Vent Exhaust System, Ducting; (L) Spill Containment, Floor Drains.","Gruma Corporation continues Market Analysis for Food Preparations Plant Expansion thru 3Q26 (Sep) and anticipates finalizing Scope by 4Q26 (Nov) and receiving Final AFE Approval 1Q27 (Jan). Subject to Final Corporate Approval, Gruma Corporation releases RFQs and Bid Documents 1Q27 (Jan-Mar). Construction Kick-Off 2Q27 (May). Project Completion 4Q27 (Dec).",1082325,1057908,Gruma Corporation,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=300927147,12,Low (0-69%)
Chemical Processing (CPI),3000000,USD,14-May-24,CARSON POLYPROPYLENE 3Q25 MAJOR MAINTENANCE TURNAROUND,"Maintenance Event (Outages, Turnarounds, Shutdowns)","Plastics Materials, Nonvulcanizable Elastomers & Synthetic Resins",Polypropylene resins-mfg,INEOS Olefins & Polymers,Operational,"Plastics Materials, Nonvulcanizable Elastomers & Synthetic Resins",Carson Polypropylene,INEOS Group AG,2384 East 223rd Street,Carson,CA,California,U.S.A.,+1 3108168881,-118.22825,33.823473,CA*08,West Coast U.S.A.,1,Los Angeles [souther,Scheduled Maintenance,25-Nov-25,QUARTER,"INEOS performs Planning and Scheduling for Polypropylene 3Q25 Major Maintenance Turnaround. PERFORM ROUTINE INSPECTIONS AND REPAIRS TO: Plant capable of producing 500M Lbs/yr Polypropylene Resins plus supporting equipment and utilities. REQUIRES MRO AND NDE OF: Heat Exchangers, Vessels, Columns and Towers, Gas-phase Reactors, Extruder, Compressors (Gas & Air), Pumps and Motors (VS), PSV's, Catalyst Screening, Nozzles, Mass Flowmeters, Controls (DCS), Scales, Temperature Sensors, Conveyors (Screw/Pneumatic), Hoppers and Bins, Extruders, Digital Transmitters/Controllers, Classifiers, Condensers, Control Valves. ENVIRONMENTAL MRO: (A) CEMS, Ventilation and Ducting, Filters.","INEOS continues with Maintenance Planning & Scheduling through 3Q25 (Jul). Upon completion of Scheduling, INEOS will release Equipment RFQs and Subcontractor Bid Documents 4Q24 (Nov)-1Q25 (Jan) to support in-house staff. Estimated 30-Day Major Maintenance Turnaround planned to Kick-Off 3Q25 (Sep). Project Completion 4Q25 (Nov).",1031918,1000492,INEOS Olefins & Polymers,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=300975910,4,High (81-99%)
Power,60000000,USD,24-Oct-25,YUBA CITY 49.5MW GREENLEAF 1 POWER PLANT DECOMMISSIONING/DISMANTLEMENT,Closure,Electricity/Steam [IPP],Nonutility Owned Power Generation,Calpine Corporation,Operational,Electricity/Steam [IPP],Greenleaf 1 Cogeneration,Calpine Corporation,5087 South Township Road,Yuba City,CA,California,U.S.A.,+1 5308212046,-121.692371,39.052575,CA*02,West Coast U.S.A.,1,Sutter,Preliminary Engineering,30-May-26,YEAR,"Calpine Corporation continues Preliminary Engineering on 49.5MW Greenleaf 1 Power Plant Decommissioning and Dismantlement. At existing site, decommission and remove (2) GE TM2500-G4 gas turbines and associated equipment. REQUIRES: Electrical Disconnection, Powerhouse Removal, Removal of Turbines, Cranes & Heavy Rigging, Heavy Hall Trucking, Disconnection of Fuel System, Tanks Removal, Lube System Removal, Electrical Cable & Cable Trays Disconnection, High Voltage Disconnection, Substation Disconnection, Backhoes, Construction Safety and Warning Signs, Structural Steel Removal. ENVIRONMENTAL: (A) Dust Suppression, Hazardous Waste Removal (Chemicals, Mercury Switches, Solvents, Oil, Grease, Fuel, Lead Paint, Transformer Oil, Universal Waste, Lights, Bulbs, Ballasts), Asbestos Abatement, Mercury, Lead Abatement and Removal, Remove Stacks; (L) Spill Containment, Soil Removal, Transformer Oil Removal, Equipment and Debris Removal; (W) Wastewater Disposal.",Calpine Corporation continues Preliminary Engineering through AFE approval 2Q25 (Jun) with bids for EPC to be released 3Q25 (Jul). Equipment RFQs expected 3Q25 (Aug) with Bids for Subcontractors and consumables released as needed through 1Q26 (Feb). Kick-Off is planned for 1Q26 (Jan) with Completion 2Q26 (May).,1031700,3413238,Calpine Greenleaf Holdings,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301125465,0,High (81-99%)
Metals & Minerals,10000000,USD,20-Oct-23,LOS ANGELES LOW CARBON CEMENT (GGBFS) FACILITY EXPANSION,Plant Expansion,"Cement, Hydraulic","Cement, hydraulic: portland, natural, masonry, and pozzolana-mfg",Orcem Americas Incorporated,Planned,"Cement, Hydraulic",Los Angeles Low Carbon Cement (GGBFS) Facility,Ecocem Materials Limited,100 Yacht Street,Los Angeles,CA,California,U.S.A.,+1 2813622728,-118.257728,33.764479,CA*08,West Coast U.S.A.,1,Los Angeles [souther,Permitting,1-Dec-29,YEAR,"Orcem Americas (subsidiary of Ecocem Materials) performs Permitting for Los Angeles Brownfield Low Carbon Cement (GGBFS) Facility Expansion. DETAILS: Once Construct for Grinding Granulated Blast Furnace Slag Facility with an initial capacity of 375,000 T/yr has commenced (Planned Proj ID 300923061), gradually ramp up operations to reach a full production capacity of 750,000 T/yr GGBFS and import 800,000 T/yr GBFS from vessels. REQUIRES: Structural Steel, Enclosed Grinding Mill, Processing Equipment, Enclosed Conveyor System, Conveyor Belts, Electrical Substation, Utilities, Mobile Conveyor Line, Silos, Hoppers, Bucket Elevator, Air Heater, Fans, Classifier, Feeders, Air Separators, Hoppers, Motors, Pumps, Conveyors, Drives (VS), Mixers, Reclaimers, Chutes, Belts, Gauges, Stackers, Pipings, Gears, MCC, Controls (PLCs). ENVIRONMENTAL: (A) Vent System, Fans, Bag Filter, Air Injection Systems, Dust Collectors/Filtration Unit, Sensors, Ducting, Monitors; (L) Containment; (W) Storm Water Management System Improvement.","Orcem Americas (subsidiary of Ecocem Materials) performs Permitting 4Q25 (Oct). Upon Planned Low Carbon Cement Facility Start-up (Plt ID #3567030), Orcem Americas (subsidiary of Ecocem Materials) release Equipment RFQs and Union Subcontractor Bid Documents 4Q27 (Oct) - 2Q29. Ramp-up Construction Kick-off 4Q27 (Dec). Project Completion 4Q29 (Dec).",3567030,3152220,Ecocem Materials Limited,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=300923362,12,Medium (70-80%)
Metals & Minerals,10000000,USD,19-Oct-23,LOS ANGELES LOW CARBON CEMENT BULK VESSEL BERTH MODIFICATIONS,Upgrade,"Cement, Hydraulic","Cement, hydraulic: portland, natural, masonry, and pozzolana-mfg",Orcem Americas Incorporated,Planned,"Cement, Hydraulic",Los Angeles Low Carbon Cement (GGBFS) Facility,Ecocem Materials Limited,100 Yacht Street,Los Angeles,CA,California,U.S.A.,+1 2813622728,-118.257728,33.764479,CA*08,West Coast U.S.A.,1,Los Angeles [souther,Owner Review of Issue,1-Feb-27,YEAR,"Orcem Americas (subsidiary of Ecocem Materials) performs Owner Review of Issue for Los Angeles Low Carbon Cement Bulk Vessel Berth Modifications. DETAILS: At part of the Planned Low Carbon Cement Operations (Proj ID #300923041), Modify the wharf at Berth 191 to accommodate the cement unloading operation and import 400,000 T/yr GBFS to Planned Low Carbon Cement Plant (Plt ID #3567030). MODIFICATIONS TO: Wharf Decking, Bracing, Stringers, Pile Caps, Replace (41) Timber Structural Piles, Remove/Replace Asphalt, Repair (28) Concrete Structural Piles, Install Fender Piles and Yokohama Fenders, Minor Dredging, Moorings, Auxiliary Diesel Engines, Vessels, Tug Boats, Fencing, Gates, Cranes, Compressors (Air), Electrical Distribution, Switchgear,  Transformers, Controls (PLC). ENVIRONMENTAL: (L) Drainage, Containment.",Orcem Americas (subsidiary of Ecocem Materials) continues Owner Review of Issue 4Q25 (Oct). Orcem Americas (subsidiary of Ecocem Materials) releases Equipment RFQs and Subcontractor Bid Documents 4Q25 (Nov). 12-Month Construction Kick-Off 1Q26 (Mar). Project Completion 1Q27 (Feb).,3567030,3152220,Ecocem Materials Limited,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=300923061,13,Medium (70-80%)
Metals & Minerals,40000000,USD,19-Oct-23,LOS ANGELES BROWNFIELD LOW CARBON CEMENT (GGBFS) FACILITY,Brownfield,"Cement, Hydraulic","Cement, hydraulic: portland, natural, masonry, and pozzolana-mfg",Orcem Americas Incorporated,Planned,"Cement, Hydraulic",Los Angeles Low Carbon Cement (GGBFS) Facility,Ecocem Materials Limited,100 Yacht Street,Los Angeles,CA,California,U.S.A.,+1 2813622728,-118.257728,33.764479,CA*08,West Coast U.S.A.,1,Los Angeles [souther,Owner Review of Issue,1-Dec-27,YEAR,"Orcem Americas (subsidiary of Ecocem Materials) performs Permitting for Los Angeles Brownfield Low Carbon Cement (GGBFS) Facility. DETAILS: At Berths 192-194, Construct a Grinding Granulated Blast Furnace Slag Facility with an initial capacity of 375,000 T/yr with vessel import capabilities (Planned Proj ID 300923061). Once in operations ramp up operations to reach a full production capacity of 750,000 T/yr GGBFS. REQUIRES: Site Prep, Ground Improvements, Structural Steel, Pilings Foundations, Buildings, Enclosed Grinding Mill, Processing Equipment, Enclosed Conveyor System, Conveyor Belts, Electrical Substation, Utilities, Mobile Conveyor Line, Silos, Hoppers, Bucket Elevator, Lighting, Fencing, Stockpiles, Trucking Loading Facility, Excavator, Front-End Loader, Air Heater, Fans, Classifier, Feeders, Air Separators, Dryer, Natural-Gas Hot Air Generator, Cyclones, Material Handling System, Hoppers, Packaging/Bagging Equipment, Motors, Pumps, Conveyors, Drives (VS), Mixers, Reclaimers, Chutes, Weigh Bridges/Scales, Belts, Gauges, Stackers, Pipings, Truck & Rail Loading/Unloading Facilities, Gears, MCC, Controls (PLCs). ENVIRONMENTAL: (A) Vent System, Fans, Bag Filter, Air Injection Systems, Dust Collectors/Filtration Unit, Sensors, Ducting, Monitors; (L) GBFS Stockpile Storage Area, Enclosed Clinker Storage Building, Containment; (W) Storm Water Management System Improvement.",Orcem Americas (subsidiary of Ecocem Materials) continues Permitting 4Q25 (Oct). Orcem Americas (subsidiary of Ecocem Materials) releases Equipment RFQs and Subcontractor Bid Documents 1Q26 (Mar). 18-Month Construction Kick-off 2Q26 (Jun). Project Completion 4Q27 (Dec).,3567030,3152220,Ecocem Materials Limited,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=300923041,16,Medium (70-80%)
